Age,Age Group,City,customer_code,Year,Quarter,Month,Day,Sum of Estimated Settlement Amount,Sum of Final Premium Amount,Sum of Settlement %
33,31-40,Hyderabad,SUNK5MT,1991,Qtr 1,February,8,₹ 28863,19078,0.513
33,31-40,Hyderabad,SUNKI7,1991,Qtr 4,October,4,₹ 13940,9214,0.513
33,31-40,Hyderabad,SUNKO8A,1991,Qtr 3,July,30,₹ 31440,20781,0.513
33,31-40,Hyderabad,SUNKQQ,1991,Qtr 1,January,10,₹ 31698,20952,0.513
33,31-40,Hyderabad,SUNKYYB,1991,Qtr 2,May,25,₹ 147043,97193,0.513
33,31-40,Hyderabad,SUNLDTJ,1991,Qtr 3,August,6,₹ 13772,9103,0.513
33,31-40,Hyderabad,SUNLJ2,1991,Qtr 1,March,5,₹ 40984,27090,0.513
33,31-40,Hyderabad,SUNLKK,1991,Qtr 1,March,16,₹ 216914,143376,0.513
33,31-40,Hyderabad,SUNLP6,1991,Qtr 1,January,24,₹ 9661,6386,0.513
33,31-40,Hyderabad,SUNLX6S,1991,Qtr 1,February,21,₹ 32269,21329,0.513
33,31-40,Hyderabad,SUNM0W5,1991,Qtr 1,March,12,₹ 41879,27681,0.513
33,31-40,Hyderabad,SUNM8K,1991,Qtr 4,November,30,₹ 197887,130800,0.513
33,31-40,Hyderabad,SUNMD,1991,Qtr 2,May,6,₹ 22875,15120,0.513
33,31-40,Hyderabad,SUNMWSG,1991,Qtr 3,July,13,₹ 29379,19419,0.513
33,31-40,Hyderabad,SUNN5,1991,Qtr 1,March,15,₹ 8737,5775,0.513
33,31-40,Hyderabad,SUNNJ8T,1991,Qtr 2,May,7,₹ 14654,9686,0.513
33,31-40,Hyderabad,SUNNNEN,1991,Qtr 2,May,1,₹ 9304,6150,0.513
33,31-40,Hyderabad,SUNNRV,1991,Qtr 1,February,21,₹ 12822,8475,0.513
33,31-40,Hyderabad,SUNNXLN,1991,Qtr 4,December,26,₹ 14536,9608,0.513
33,31-40,Hyderabad,SUNOA2,1991,Qtr 4,November,13,₹ 77486,51217,0.513
33,31-40,Hyderabad,SUNOE1,1991,Qtr 3,August,15,₹ 13344,8820,0.513
33,31-40,Hyderabad,SUNOH1J,1991,Qtr 3,July,19,₹ 12500,8262,0.513
33,31-40,Hyderabad,SUNOYF,1991,Qtr 4,November,20,₹ 203824,134724,0.513
33,31-40,Hyderabad,SUNP21,1991,Qtr 2,June,16,₹ 13940,9214,0.513
33,31-40,Hyderabad,SUNQ1KX,1991,Qtr 3,September,6,₹ 8882,5871,0.513
33,31-40,Hyderabad,SUNQ6LX,1991,Qtr 1,January,2,₹ 29120,19248,0.513
33,31-40,Hyderabad,SUNQFAK,1991,Qtr 1,March,5,₹ 9690,6405,0.513
33,31-40,Hyderabad,SUNQJH3,1991,Qtr 2,June,2,₹ 31570,20867,0.513
33,31-40,Hyderabad,SUNQWLY,1991,Qtr 3,July,2,₹ 21541,14238,0.513
33,31-40,Hyderabad,SUNRAK0,1991,Qtr 2,April,27,₹ 20554,13586,0.513
33,31-40,Hyderabad,SUNRHZE,1991,Qtr 3,September,28,₹ 13463,8899,0.513
33,31-40,Hyderabad,SUNRJO,1991,Qtr 4,December,4,₹ 58415,38611,0.513
33,31-40,Hyderabad,SUNRMY,1991,Qtr 1,March,19,₹ 31303,20691,0.513
33,31-40,Hyderabad,SUNRTG1,1991,Qtr 1,March,28,₹ 13701,9056,0.513
33,31-40,Hyderabad,SUNS04,1991,Qtr 1,February,28,₹ 40984,27090,0.513
33,31-40,Hyderabad,SUNS05,1991,Qtr 3,September,17,₹ 22113,14616,0.513
33,31-40,Hyderabad,SUNS6B,1991,Qtr 4,November,8,₹ 36184,23917,0.513
33,31-40,Hyderabad,SUNS9Z,1991,Qtr 2,June,19,₹ 14177,9371,0.513
33,31-40,Hyderabad,SUNSGV,1991,Qtr 1,January,18,₹ 22037,14566,0.513
33,31-40,Hyderabad,SUNSI8,1991,Qtr 3,July,20,₹ 14297,9450,0.513
33,31-40,Hyderabad,SUNSK7D,1991,Qtr 4,November,29,₹ 151904,100406,0.513
33,31-40,Hyderabad,SUNSKD,1991,Qtr 3,July,2,₹ 21480,14198,0.513
33,31-40,Hyderabad,SUNT0V2,1991,Qtr 2,June,17,₹ 57911,38278,0.513
33,31-40,Hyderabad,SUNTDLB,1991,Qtr 2,May,16,₹ 9214,6090,0.513
33,31-40,Hyderabad,SUNTFV,1991,Qtr 3,August,10,₹ 9055,5985,0.513
33,31-40,Hyderabad,SUNTIH0,1991,Qtr 4,November,8,₹ 22875,15120,0.513
33,31-40,Hyderabad,SUNTJ4,1991,Qtr 4,October,18,₹ 60170,39771,0.513
33,31-40,Hyderabad,SUNTMB,1991,Qtr 3,August,3,₹ 13583,8978,0.513
33,31-40,Hyderabad,SUNTO,1991,Qtr 4,November,8,₹ 61436,40608,0.513
33,31-40,Hyderabad,SUNTSU,1991,Qtr 1,March,5,₹ 29181,19288,0.513
33,31-40,Hyderabad,SUNTT7,1991,Qtr 3,July,22,₹ 9259,6120,0.513
33,31-40,Hyderabad,SUNTUZK,1991,Qtr 4,October,14,₹ 39618,26187,0.513
33,31-40,Hyderabad,SUNU32,1991,Qtr 2,April,2,₹ 37568,24832,0.513
33,31-40,Hyderabad,SUNU6D,1991,Qtr 3,September,11,₹ 13463,8899,0.513
33,31-40,Hyderabad,SUNU89N,1991,Qtr 2,April,27,₹ 23638,15624,0.513
33,31-40,Hyderabad,SUNV4W,1991,Qtr 1,January,23,₹ 12987,8584,0.513
33,31-40,Hyderabad,SUNV7A,1991,Qtr 2,April,27,₹ 20757,13720,0.513
33,31-40,Hyderabad,SUNVGNA,1991,Qtr 3,September,16,₹ 133398,88174,0.513
33,31-40,Hyderabad,SUNVK5,1991,Qtr 2,June,28,₹ 14141,9347,0.513
33,31-40,Hyderabad,SUNVKSH,1991,Qtr 4,October,22,₹ 76289,50426,0.513
33,31-40,Hyderabad,SUNVOO,1991,Qtr 3,July,30,₹ 77389,51153,0.513
33,31-40,Hyderabad,SUNVV2,1991,Qtr 1,March,18,₹ 19789,13080,0.513
33,31-40,Hyderabad,SUNW15J,1991,Qtr 2,May,19,₹ 52275,34553,0.513
33,31-40,Hyderabad,SUNW1Z,1991,Qtr 2,April,14,₹ 9490,6273,0.513
33,31-40,Hyderabad,SUNW5F,1991,Qtr 2,June,2,₹ 21317,14090,0.513
33,31-40,Hyderabad,SUNWBV4,1991,Qtr 2,June,20,₹ 40145,26535,0.513
33,31-40,Hyderabad,SUNWPB3,1991,Qtr 4,October,3,₹ 39960,26413,0.513
33,31-40,Hyderabad,SUNWXD,1991,Qtr 3,July,8,₹ 39618,26187,0.513
33,31-40,Hyderabad,SUNX4EL,1991,Qtr 2,April,28,₹ 39618,26187,0.513
33,31-40,Hyderabad,SUNX5XY,1991,Qtr 2,May,5,₹ 58784,38855,0.513
33,31-40,Hyderabad,SUNXNN,1991,Qtr 2,May,9,₹ 9038,5974,0.513
33,31-40,Hyderabad,SUNXP9,1991,Qtr 4,October,25,₹ 82365,54442,0.513
33,31-40,Hyderabad,SUNY6S,1991,Qtr 2,May,17,₹ 22875,15120,0.513
33,31-40,Hyderabad,SUNYB0N,1991,Qtr 2,June,1,₹ 40984,27090,0.513
33,31-40,Hyderabad,SUNYI0,1991,Qtr 2,June,28,₹ 31834,21042,0.513
33,31-40,Hyderabad,SUNYKNX,1991,Qtr 1,January,10,₹ 131037,86613,0.513
33,31-40,Hyderabad,SUNYON,1991,Qtr 2,April,2,₹ 22303,14742,0.513
33,31-40,Hyderabad,SUNYU8H,1991,Qtr 4,October,21,₹ 9453,6248,0.513
33,31-40,Hyderabad,SUNZ15V,1991,Qtr 4,October,8,₹ 217313,143640,0.513
33,31-40,Hyderabad,SUNZ24N,1991,Qtr 2,June,19,₹ 21731,14364,0.513
33,31-40,Hyderabad,SUNZ7J8,1991,Qtr 3,September,20,₹ 41140,27193,0.513
33,31-40,Hyderabad,SUNZBG,1991,Qtr 1,March,29,₹ 230657,152460,0.513
33,31-40,Hyderabad,SUNZG,1991,Qtr 3,August,22,₹ 9055,5985,0.513
33,31-40,Hyderabad,SUNZORR,1991,Qtr 3,August,7,₹ 74940,49534,0.513
33,31-40,Hyderabad,SUNZPH,1991,Qtr 2,April,27,₹ 40334,26660,0.513
33,31-40,Indore,SUN01TJ,1991,Qtr 4,December,8,₹ 78315,51765,0.513
33,31-40,Indore,SUN0DS,1991,Qtr 4,October,2,₹ 22406,14810,0.513
33,31-40,Indore,SUN0L6,1991,Qtr 4,November,17,₹ 21922,14490,0.513
33,31-40,Indore,SUN0LB,1991,Qtr 3,August,4,₹ 13888,9180,0.513
33,31-40,Indore,SUN0NY,1991,Qtr 2,May,17,₹ 30152,19930,0.513
33,31-40,Indore,SUN12,1991,Qtr 3,July,4,₹ 129625,85680,0.513
33,31-40,Indore,SUN2EIO,1991,Qtr 2,June,20,₹ 31303,20691,0.513
33,31-40,Indore,SUN2U7,1991,Qtr 2,May,11,₹ 23256,15372,0.513
33,31-40,Indore,SUN362,1991,Qtr 1,January,24,₹ 42351,27993,0.513
33,31-40,Indore,SUN3VU,1991,Qtr 1,March,2,₹ 8565,5661,0.513
33,31-40,Indore,SUN4JI,1991,Qtr 2,April,5,₹ 12857,8498,0.513
33,31-40,Indore,SUN539W,1991,Qtr 2,April,22,₹ 12846,8491,0.513
33,31-40,Indore,SUN5N,1991,Qtr 4,December,24,₹ 75615,49980,0.513
33,31-40,Indore,SUN5NIO,1991,Qtr 1,January,22,₹ 9372,6195,0.513
33,31-40,Indore,SUN66F,1991,Qtr 3,September,25,₹ 22113,14616,0.513
33,31-40,Indore,SUN6G89,1991,Qtr 1,January,21,₹ 13583,8978,0.513
33,31-40,Indore,SUN6O9I,1991,Qtr 2,May,8,₹ 29447,19464,0.513
33,31-40,Indore,SUN72K,1991,Qtr 4,October,8,₹ 83716,55335,0.513
33,31-40,Indore,SUN7M5X,1991,Qtr 1,January,15,₹ 20333,13440,0.513
33,31-40,Indore,SUN7V64,1991,Qtr 2,May,18,₹ 12987,8584,0.513
33,31-40,Indore,SUN7Y4L,1991,Qtr 1,January,15,₹ 57796,38202,0.513
33,31-40,Indore,SUN80Z,1991,Qtr 4,October,13,₹ 41668,27542,0.513
33,31-40,Indore,SUN84I,1991,Qtr 2,June,22,₹ 36886,24381,0.513
33,31-40,Indore,SUN84LZ,1991,Qtr 4,December,16,₹ 59191,39124,0.513
33,31-40,Indore,SUN8IA9,1991,Qtr 3,September,27,₹ 30243,19990,0.513
33,31-40,Indore,SUN95B8,1991,Qtr 4,October,10,₹ 209688,138600,0.513
33,31-40,Indore,SUN9H6,1991,Qtr 4,October,10,₹ 14536,9608,0.513
33,31-40,Indore,SUN9ST,1991,Qtr 1,January,19,₹ 20757,13720,0.513
33,31-40,Indore,SUNA363,1991,Qtr 3,September,23,₹ 37732,24940,0.513
33,31-40,Indore,SUNAAQB,1991,Qtr 4,October,10,₹ 56903,37612,0.513
33,31-40,Indore,SUNAFNV,1991,Qtr 2,June,17,₹ 28297,18704,0.513
33,31-40,Indore,SUNAU6O,1991,Qtr 3,July,27,₹ 21159,13986,0.513
33,31-40,Indore,SUNBABI,1991,Qtr 4,October,31,₹ 22592,14933,0.513
33,31-40,Indore,SUNBD49,1991,Qtr 1,March,31,₹ 57235,37831,0.513
33,31-40,Indore,SUNBGN,1991,Qtr 4,December,3,₹ 20925,13831,0.513
33,31-40,Indore,SUNBWSW,1991,Qtr 4,October,25,₹ 59191,39124,0.513
33,31-40,Indore,SUNC2E,1991,Qtr 1,March,10,₹ 223032,147420,0.513
33,31-40,Indore,SUND63Q,1991,Qtr 3,July,6,₹ 21731,14364,0.513
33,31-40,Indore,SUNDHI8,1991,Qtr 3,September,1,₹ 140666,92978,0.513
33,31-40,Indore,SUNEI8,1991,Qtr 3,July,6,₹ 42009,27767,0.513
33,31-40,Indore,SUNFQT,1991,Qtr 2,April,24,₹ 30707,20297,0.513
33,31-40,Indore,SUNH3F,1991,Qtr 2,April,20,₹ 39033,25800,0.513
33,31-40,Indore,SUNHL,1991,Qtr 4,November,5,₹ 13194,8721,0.513
33,31-40,Indore,SUNHLP7,1991,Qtr 1,March,28,₹ 22684,14994,0.513
33,31-40,Indore,SUNHN5,1991,Qtr 2,June,20,₹ 38863,25688,0.513
33,31-40,Indore,SUNHXVX,1991,Qtr 2,June,14,₹ 207564,137196,0.513
33,31-40,Indore,SUNIAKY,1991,Qtr 3,September,18,₹ 13908,9193,0.513
33,31-40,Indore,SUNIID3,1991,Qtr 4,December,6,₹ 78990,52211,0.513
33,31-40,Indore,SUNIKO,1991,Qtr 2,April,25,₹ 221125,146160,0.513
33,31-40,Indore,SUNIO9N,1991,Qtr 4,November,27,₹ 76289,50426,0.513
33,31-40,Indore,SUNIOKW,1991,Qtr 4,November,30,₹ 19999,13219,0.513
33,31-40,Indore,SUNIS3,1991,Qtr 2,May,19,₹ 41668,27542,0.513
33,31-40,Indore,SUNJ39,1991,Qtr 3,August,6,₹ 21786,14400,0.513
33,31-40,Indore,SUNJEQS,1991,Qtr 3,September,22,₹ 14416,9529,0.513
33,31-40,Indore,SUNKMU,1991,Qtr 1,January,26,₹ 143399,94784,0.513
33,31-40,Indore,SUNL445,1991,Qtr 1,January,18,₹ 21111,13954,0.513
33,31-40,Indore,SUNLGW,1991,Qtr 2,April,21,₹ 13820,9135,0.513
33,31-40,Indore,SUNLTA,1991,Qtr 1,February,14,₹ 13224,8741,0.513
33,31-40,Indore,SUNNLT0,1991,Qtr 3,July,12,₹ 56399,37279,0.513
33,31-40,Indore,SUNNR3,1991,Qtr 1,January,8,₹ 13090,8652,0.513
33,31-40,Indore,SUNNR50,1991,Qtr 2,June,13,₹ 59421,39276,0.513
33,31-40,Indore,SUNOUQ7,1991,Qtr 2,June,11,₹ 22875,15120,0.513
33,31-40,Indore,SUNPR6C,1991,Qtr 4,October,23,₹ 28863,19078,0.513
33,31-40,Indore,SUNQ6,1991,Qtr 2,April,14,₹ 30508,20165,0.513
33,31-40,Indore,SUNQTU,1991,Qtr 2,June,4,₹ 13888,9180,0.513
33,31-40,Indore,SUNQTV,1991,Qtr 1,February,13,₹ 60658,40094,0.513
33,31-40,Indore,SUNQWG,1991,Qtr 1,February,22,₹ 21541,14238,0.513
33,31-40,Indore,SUNRCG,1991,Qtr 3,July,26,₹ 31329,20708,0.513
33,31-40,Indore,SUNRKJJ,1991,Qtr 3,August,21,₹ 8950,5916,0.513
33,31-40,Indore,SUNRPV9,1991,Qtr 2,May,21,₹ 215407,142380,0.513
33,31-40,Indore,SUNRRY,1991,Qtr 4,October,16,₹ 78315,51765,0.513
33,31-40,Indore,SUNS0L,1991,Qtr 4,October,14,₹ 20185,13342,0.513
33,31-40,Indore,SUNT0Z,1991,Qtr 2,April,5,₹ 210596,139200,0.513
33,31-40,Indore,SUNT34,1991,Qtr 3,July,23,₹ 56903,37612,0.513
33,31-40,Indore,SUNT66,1991,Qtr 3,July,16,₹ 36105,23865,0.513
33,31-40,Indore,SUNTBS,1991,Qtr 2,April,29,₹ 13224,8741,0.513
33,31-40,Indore,SUNTIJU,1991,Qtr 3,August,30,₹ 134706,89038,0.513
33,31-40,Indore,SUNTRX,1991,Qtr 4,November,5,₹ 31182,20611,0.513
33,31-40,Indore,SUNTVV,1991,Qtr 4,October,19,₹ 31076,20541,0.513
33,31-40,Indore,SUNU35,1991,Qtr 1,March,19,₹ 223304,147600,0.513
33,31-40,Indore,SUNUEGR,1991,Qtr 4,October,11,₹ 72799,48119,0.513
33,31-40,Indore,SUNV22I,1991,Qtr 3,September,27,₹ 36854,24360,0.513
33,31-40,Indore,SUNVOXI,1991,Qtr 1,January,20,₹ 37823,25000,0.513
33,31-40,Indore,SUNX65A,1991,Qtr 3,August,13,₹ 42009,27767,0.513
33,31-40,Indore,SUNXH2S,1991,Qtr 4,November,25,₹ 56903,37612,0.513
33,31-40,Indore,SUNYFY,1991,Qtr 3,August,5,₹ 23447,15498,0.513
33,31-40,Indore,SUNZ670,1991,Qtr 4,December,19,₹ 31748,20985,0.513
33,31-40,Indore,SUNZ7O2,1991,Qtr 3,July,24,₹ 8719,5763,0.513
33,31-40,Indore,SUNZAW,1991,Qtr 2,April,13,₹ 13657,9027,0.513
33,31-40,Mumbai,SUN086,1991,Qtr 3,July,12,₹ 54337,35916,0.513
33,31-40,Mumbai,SUN08L,1991,Qtr 2,May,10,₹ 21504,14214,0.513
33,31-40,Mumbai,SUN0G7,1991,Qtr 3,September,6,₹ 13583,8978,0.513
33,31-40,Mumbai,SUN0LR,1991,Qtr 4,November,2,₹ 30666,20270,0.513
33,31-40,Mumbai,SUN0LV3,1991,Qtr 1,March,5,₹ 21159,13986,0.513
33,31-40,Mumbai,SUN0MG,1991,Qtr 4,November,6,₹ 20778,13734,0.513
33,31-40,Mumbai,SUN0OM,1991,Qtr 2,May,11,₹ 224067,148104,0.513
33,31-40,Mumbai,SUN0Q,1991,Qtr 3,September,11,₹ 29146,19265,0.513
33,31-40,Mumbai,SUN0TG,1991,Qtr 4,November,14,₹ 28297,18704,0.513
33,31-40,Mumbai,SUN0WMM,1991,Qtr 1,March,25,₹ 39358,26015,0.513
33,31-40,Mumbai,SUN0ZJ8,1991,Qtr 3,July,12,₹ 59924,39609,0.513
33,31-40,Mumbai,SUN16K,1991,Qtr 1,March,4,₹ 29978,19815,0.513
33,31-40,Mumbai,SUN1E7,1991,Qtr 2,June,16,₹ 39618,26187,0.513
33,31-40,Mumbai,SUN1K5,1991,Qtr 4,November,14,₹ 38057,25155,0.513
33,31-40,Mumbai,SUN1KI,1991,Qtr 3,September,4,₹ 41140,27193,0.513
33,31-40,Mumbai,SUN1LT,1991,Qtr 2,May,4,₹ 77641,51319,0.513
33,31-40,Mumbai,SUN1OR,1991,Qtr 4,October,11,₹ 72143,47685,0.513
33,31-40,Mumbai,SUN1Q0,1991,Qtr 2,April,26,₹ 228750,151200,0.513
33,31-40,Mumbai,SUN1V,1991,Qtr 1,January,13,₹ 220363,145656,0.513
33,31-40,Mumbai,SUN1WU,1991,Qtr 1,January,23,₹ 9690,6405,0.513
33,31-40,Mumbai,SUN1XRD,1991,Qtr 3,July,10,₹ 56256,37184,0.513
33,31-40,Mumbai,SUN23M,1991,Qtr 4,November,26,₹ 138120,91295,0.513
33,31-40,Mumbai,SUN24E,1991,Qtr 3,July,19,₹ 22066,14585,0.513
33,31-40,Mumbai,SUN28K,1991,Qtr 1,March,18,₹ 12616,8339,0.513
33,31-40,Mumbai,SUN29B3,1991,Qtr 2,May,2,₹ 37228,24607,0.513
33,31-40,Mumbai,SUN29K,1991,Qtr 4,November,9,₹ 30925,20441,0.513
33,31-40,Mumbai,SUN2GBU,1991,Qtr 1,February,19,₹ 8657,5722,0.513
33,31-40,Mumbai,SUN2K4K,1991,Qtr 2,April,3,₹ 39482,26097,0.513
33,31-40,Mumbai,SUN2LNS,1991,Qtr 2,June,15,₹ 23147,15300,0.513
33,31-40,Mumbai,SUN2NYZ,1991,Qtr 2,May,4,₹ 14351,9486,0.513
33,31-40,Mumbai,SUN2OJ9,1991,Qtr 1,January,13,₹ 131037,86613,0.513
33,31-40,Mumbai,SUN32R4,1991,Qtr 3,September,8,₹ 14468,9563,0.513
33,31-40,Mumbai,SUN33O2,1991,Qtr 4,November,11,₹ 57407,37945,0.513
33,31-40,Mumbai,SUN36PX,1991,Qtr 4,October,7,₹ 79666,52658,0.513
33,31-40,Mumbai,SUN3GS,1991,Qtr 3,September,7,₹ 76964,50872,0.513
33,31-40,Mumbai,SUN3J9F,1991,Qtr 1,March,13,₹ 8245,5450,0.513
33,31-40,Mumbai,SUN3L6Y,1991,Qtr 2,April,5,₹ 56903,37612,0.513
33,31-40,Mumbai,SUN3NJ,1991,Qtr 1,March,23,₹ 14893,9844,0.513
33,31-40,Mumbai,SUN3O3,1991,Qtr 3,August,26,₹ 142182,93980,0.513
33,31-40,Mumbai,SUN3QE,1991,Qtr 4,November,22,₹ 37823,25000,0.513
33,31-40,Mumbai,SUN3T6,1991,Qtr 1,March,2,₹ 13224,8741,0.513
33,31-40,Mumbai,SUN3UEC,1991,Qtr 4,December,31,₹ 224393,148320,0.513
33,31-40,Mumbai,SUN3W5H,1991,Qtr 1,March,1,₹ 37910,25058,0.513
33,31-40,Mumbai,SUN3Y2B,1991,Qtr 2,May,29,₹ 30774,20341,0.513
33,31-40,Mumbai,SUN442M,1991,Qtr 2,May,2,₹ 20757,13720,0.513
33,31-40,Mumbai,SUN47B,1991,Qtr 2,June,12,₹ 9214,6090,0.513
33,31-40,Mumbai,SUN4SV,1991,Qtr 4,November,11,₹ 54890,36281,0.513
33,31-40,Mumbai,SUN4T3,1991,Qtr 1,March,23,₹ 58415,38611,0.513
33,31-40,Mumbai,SUN4ZU,1991,Qtr 1,March,11,₹ 28045,18537,0.513
33,31-40,Mumbai,SUN5EC,1991,Qtr 3,August,28,₹ 37910,25058,0.513
33,31-40,Mumbai,SUN5KY,1991,Qtr 1,January,24,₹ 20554,13586,0.513
33,31-40,Mumbai,SUN5SWR,1991,Qtr 3,July,2,₹ 31039,20516,0.513
33,31-40,Mumbai,SUN640,1991,Qtr 1,March,25,₹ 55896,36946,0.513
33,31-40,Mumbai,SUN69P,1991,Qtr 1,January,11,₹ 39276,25961,0.513
33,31-40,Mumbai,SUN6MR,1991,Qtr 3,August,4,₹ 54788,36214,0.513
33,31-40,Mumbai,SUN6Y8,1991,Qtr 4,December,11,₹ 31488,20813,0.513
33,31-40,Mumbai,SUN71Q,1991,Qtr 1,March,19,₹ 21060,13920,0.513
33,31-40,Mumbai,SUN7510,1991,Qtr 2,May,20,₹ 30774,20341,0.513
33,31-40,Mumbai,SUN77U4,1991,Qtr 2,May,2,₹ 41326,27316,0.513
33,31-40,Mumbai,SUN77WD,1991,Qtr 3,August,25,₹ 59421,39276,0.513
33,31-40,Mumbai,SUN7D3,1991,Qtr 2,May,14,₹ 22149,14640,0.513
33,31-40,Mumbai,SUN7IM8,1991,Qtr 2,June,14,₹ 145828,96390,0.513
33,31-40,Mumbai,SUN7N5,1991,Qtr 3,September,14,₹ 29712,19639,0.513
33,31-40,Mumbai,SUN7NW,1991,Qtr 2,May,2,₹ 74586,49300,0.513
33,31-40,Mumbai,SUN7O2,1991,Qtr 1,January,31,₹ 61940,40941,0.513
33,31-40,Mumbai,SUN7OB,1991,Qtr 2,April,15,₹ 13583,8978,0.513
33,31-40,Mumbai,SUN84DL,1991,Qtr 3,September,4,₹ 19970,13200,0.513
33,31-40,Mumbai,SUN84L,1991,Qtr 1,January,26,₹ 9038,5974,0.513
33,31-40,Mumbai,SUN85LG,1991,Qtr 2,June,24,₹ 79666,52658,0.513
33,31-40,Mumbai,SUN8EU,1991,Qtr 4,November,2,₹ 13224,8741,0.513
33,31-40,Mumbai,SUN8JZT,1991,Qtr 4,November,1,₹ 39618,26187,0.513
33,31-40,Mumbai,SUN8N33,1991,Qtr 1,March,1,₹ 53844,35590,0.513
33,31-40,Mumbai,SUN8XQ,1991,Qtr 2,May,18,₹ 141662,93636,0.513
33,31-40,Mumbai,SUN96,1991,Qtr 2,May,23,₹ 13105,8662,0.513
33,31-40,Mumbai,SUN9GL,1991,Qtr 2,June,3,₹ 14536,9608,0.513
33,31-40,Mumbai,SUN9H2,1991,Qtr 4,November,28,₹ 22252,14708,0.513
33,31-40,Mumbai,SUN9JJ,1991,Qtr 4,November,12,₹ 29146,19265,0.513
33,31-40,Mumbai,SUN9L,1991,Qtr 3,September,17,₹ 9849,6510,0.513
33,31-40,Mumbai,SUN9OM,1991,Qtr 1,March,29,₹ 13441,8884,0.513
33,31-40,Mumbai,SUN9P81,1991,Qtr 1,March,9,₹ 14893,9844,0.513
33,31-40,Mumbai,SUN9QB,1991,Qtr 4,November,6,₹ 73589,48641,0.513
33,31-40,Mumbai,SUN9XM0,1991,Qtr 2,June,4,₹ 22684,14994,0.513
33,31-40,Mumbai,SUNA5U,1991,Qtr 1,March,28,₹ 55277,36537,0.513
33,31-40,Mumbai,SUNA9AF,1991,Qtr 1,March,26,₹ 31955,21122,0.513
33,31-40,Mumbai,SUNAG,1991,Qtr 3,August,8,₹ 55277,36537,0.513
33,31-40,Mumbai,SUNAI,1991,Qtr 2,April,25,₹ 9610,6352,0.513
33,31-40,Mumbai,SUNAIV,1991,Qtr 2,May,15,₹ 21851,14443,0.513
33,31-40,Mumbai,SUNALU,1991,Qtr 3,July,22,₹ 9304,6150,0.513
33,31-40,Mumbai,SUNAQ8I,1991,Qtr 1,February,18,₹ 74766,49419,0.513
33,31-40,Mumbai,SUNAXX,1991,Qtr 1,February,9,₹ 76289,50426,0.513
33,31-40,Mumbai,SUNB0HI,1991,Qtr 2,May,17,₹ 38252,25284,0.513
33,31-40,Mumbai,SUNB2F4,1991,Qtr 3,August,2,₹ 20778,13734,0.513
33,31-40,Mumbai,SUNB8S,1991,Qtr 2,May,16,₹ 9380,6200,0.513
33,31-40,Mumbai,SUNB9I1,1991,Qtr 2,May,12,₹ 33161,21919,0.513
33,31-40,Mumbai,SUNBJ6,1991,Qtr 3,September,28,₹ 55393,36614,0.513
33,31-40,Mumbai,SUNBX9,1991,Qtr 2,May,22,₹ 216042,142800,0.513
33,31-40,Mumbai,SUNC5J,1991,Qtr 2,June,25,₹ 33161,21919,0.513
33,31-40,Mumbai,SUNCD6J,1991,Qtr 1,March,11,₹ 21480,14198,0.513
33,31-40,Mumbai,SUNCKY,1991,Qtr 3,August,17,₹ 29447,19464,0.513
33,31-40,Mumbai,SUNCMKA,1991,Qtr 3,August,3,₹ 81691,53996,0.513
33,31-40,Mumbai,SUNCX9Z,1991,Qtr 1,January,15,₹ 21480,14198,0.513
33,31-40,Mumbai,SUNCY52,1991,Qtr 2,May,20,₹ 8775,5800,0.513
33,31-40,Mumbai,SUND23,1991,Qtr 4,November,13,₹ 57723,38154,0.513
33,31-40,Mumbai,SUNDHQ2,1991,Qtr 2,June,22,₹ 9661,6386,0.513
33,31-40,Mumbai,SUNDQ4P,1991,Qtr 2,May,16,₹ 215407,142380,0.513
33,31-40,Mumbai,SUNDRCL,1991,Qtr 4,December,16,₹ 150689,99603,0.513
33,31-40,Mumbai,SUNDT,1991,Qtr 1,February,22,₹ 29893,19759,0.513
33,31-40,Mumbai,SUNE3Y9,1991,Qtr 3,August,3,₹ 21692,14338,0.513
33,31-40,Mumbai,SUNE65,1991,Qtr 1,March,27,₹ 76964,50872,0.513
33,31-40,Mumbai,SUNECM,1991,Qtr 2,June,30,₹ 81324,53754,0.513
33,31-40,Mumbai,SUNEKHP,1991,Qtr 1,January,7,₹ 60428,39942,0.513
33,31-40,Mumbai,SUNEOE,1991,Qtr 2,May,25,₹ 9027,5967,0.513
33,31-40,Mumbai,SUNERE7,1991,Qtr 1,February,15,₹ 9259,6120,0.513
33,31-40,Mumbai,SUNESC1,1991,Qtr 1,February,16,₹ 14141,9347,0.513
33,31-40,Mumbai,SUNESE,1991,Qtr 3,August,23,₹ 38382,25370,0.513
33,31-40,Mumbai,SUNESZ6,1991,Qtr 4,December,7,₹ 30243,19990,0.513
33,31-40,Mumbai,SUNEZP,1991,Qtr 3,September,5,₹ 55325,36569,0.513
33,31-40,Mumbai,SUNF1IC,1991,Qtr 1,March,5,₹ 54890,36281,0.513
33,31-40,Mumbai,SUNF6X,1991,Qtr 4,December,19,₹ 21060,13920,0.513
33,31-40,Mumbai,SUNF7RN,1991,Qtr 4,December,3,₹ 70085,46325,0.513
33,31-40,Mumbai,SUNF8R,1991,Qtr 1,January,11,₹ 14141,9347,0.513
33,31-40,Mumbai,SUNF9F9,1991,Qtr 2,May,8,₹ 55393,36614,0.513
